school,plaats,provincie,niveau,contactpersoon,email,contact_status,datum_verstuurd,status,laatste_actie,volgende_actie,datum_follow_up,notitie
# Agora-scholen, benaderd NA de warme reactie van Wendy Mazer (Vereniging Agora Onderwijs).
# Pitch = teamtraining / train-the-coaches, maatwerk + special needs, verwijst naar kevinstorm.eu.
# Volgt SCHRIJFREGELS: geen em dashes, schone HTML-links. STATUS: concept-in-gmail | verstuurd | gereageerd | gesprek-gepland | gewonnen | afgewezen | geen-reactie
Xplore Agora Amsterdam,Amsterdam,Noord-Holland,vmbo-t/havo/vwo,,welkom@xplore.nl,geverifieerd,,concept-in-gmail,concept klaar,openen + verzenden,,
MC Agora Nijmegen,Nijmegen,Gelderland,VO,,k33@montessoricollege.nl,geverifieerd,,concept-in-gmail,concept klaar,openen + verzenden,,Montessori College; locatie Kwakkenbergweg
KWC-Agora,Culemborg,Gelderland,vmbo-tl/havo/vwo,,agora@kwc-culemborg.nl,geverifieerd,,concept-in-gmail,concept klaar,openen + verzenden,,eigen Agora-inbox binnen het KWC
Agora Hub030,Utrecht,Utrecht,PO (basisonderwijs),Els Mast,info@agora-utrecht.nl,geverifieerd,,concept-in-gmail,concept klaar,openen + verzenden,,basisschool; speciaal-basisonderwijs hook
Bredagora,Breda,Noord-Brabant,VO (start 2026-2027),Bob Clerx,administratie@bredagora.nl,geverifieerd,,concept-in-gmail,concept klaar,openen + verzenden,,nieuwe school; persoonlijk aan Bob
De Ontdekking,Culemborg,Gelderland,PO (basisonderwijs),,ontdekking@cpob.nl,geverifieerd,,concept-in-gmail,concept klaar,openen + verzenden,,eerste PO-Agora van NL; speciaal-basisonderwijs hook
Atel!er Het Gooi,Eemnes/Laren,Noord-Holland,PO + VO (start aug 2026),Tom Jonkman,hallo@ateliergooi.nl,geverifieerd,,concept-in-gmail,concept klaar,openen + verzenden,,nieuwe school; persoonlijk aan Tom
Raayland Agora,Venray,Limburg,VO,,post@raayland.nl,geverifieerd,,concept-in-gmail,concept klaar,openen + verzenden,,Raayland College
Buurtcollege Agora Maas en Peel,Panningen,Limburg,VO,,info@agoramaasenpeel.nl,geverifieerd,,concept-in-gmail,concept klaar,openen + verzenden,,LVO; schoolleiding@agoramaasenpeel.nl als alternatief
# --- Al eerder benaderd / niet dubbel ---
Wings Agora,Roermond,Limburg,VO,,info@wingsroermond.nl,al benaderd,,gereageerd,fwd naar teamleider Rob (lauw),niet opnieuw,,eerste intro-campagne
# --- Volgende ronde / nog adres te verifieren ---
Agora Zwolle,Zwolle,Overijssel,VO,,,te bevestigen,,nog-versturen,,adres opzoeken (via OOZ/Van der Capellen),,in ontwikkeling
Laterna Magica,Amsterdam,Noord-Holland,PO,,,te bevestigen,,nog-versturen,,Agora-geinspireerd (STAIJ); adres checken,,
Agora Roermond / Niekee (SOML-cluster),Roermond,Limburg,VO,,,te bevestigen,,nog-versturen,,LET OP: Wings Roermond stuurde al door naar teamleider Rob - niet dubbel,,
# NB: ~25+ Agora-scholen totaal; de ledenlijst-pagina is geblokkeerd, dus namen komen 1 voor 1 uit zoekopdrachten. Rest volgt op verzoek.
