tier,organisatie,type,plaats_regio,website,contact_email,telefoon,ingang_wie_benaderen,contact_status,notitie
A,Hogeschool KPZ,PABO / lerarenopleiding,Zwolle,kpz.nl,servicepunt@kpz.nl,038-4217425,Coordinator professionalisering / nascholing,geverifieerd (algemeen),1250+ deelnemers nascholing per jaar; dichtbij; sterke eerste target
A,Windesheim - Pabo & Onderwijscentrum,PABO / lerarenopleiding,Zwolle,windesheim.nl,,0900-8899,Opleidingsmanager Pabo / post-hbo onderwijs,te bevestigen,Groot; benader via opleidingsmanager of contactformulier + LinkedIn
A,Saxion - Academie Pedagogiek & Onderwijs (APO),PABO / lerarenopleiding,Deventer / Enschede,saxion.nl,,088-0199190,APO Frontoffice / lerarenopleider-coordinator,te bevestigen (tel geverifieerd),Regio Twente/Salland; APO frontoffice als ingang
A,NHL Stenden - Pabo,PABO / lerarenopleiding,Leeuwarden / Emmen / Meppel / Assen,nhlstenden.com,,058-2511511,Teamleider Pabo per locatie,te bevestigen,Meerdere locaties in Kevins regio (Emmen/Meppel/Assen)
A,Hanzehogeschool - Pedagogische Academie,PABO / lerarenopleiding,Groningen,hanze.nl,,050-5955555,Opleidingscoordinator Pedagogische Academie,te bevestigen,Noord-Nederland
A,Viaa Gereformeerde Hogeschool - Pabo,PABO / lerarenopleiding,Zwolle,viaa.nl,info@viaa.nl,038-4255542,Opleidingsmanager Pabo,te bevestigen,Kleiner; persoonlijke lijn mogelijk
A,Iselinge Hogeschool,PABO / lerarenopleiding,Doetinchem,iselinge.nl,info@iselinge.nl,0314-796000,Opleidingsmanager / directie,te bevestigen,Achterhoek; klein en benaderbaar
A,HAN - Pabo / Academie Educatie,PABO / lerarenopleiding,Nijmegen / Arnhem,han.nl,,024-3531111,Opleidingscoordinator Pabo,te bevestigen,Gelderland
A,Marnix Academie (Marnix Onderwijscentrum),PABO / lerarenopleiding + nascholing,Utrecht,marnixacademie.nl,moc@hsmarnix.nl,030-2753400,Marnix Onderwijscentrum (nascholing),geverifieerd,Landelijk sterk in nascholing; moc@ is de nascholingsingang - CONCEPT KLAAR
A,Hogeschool Utrecht - Theo Thijssen (Instituut Archimedes),PABO / lerarenopleiding,Utrecht,hu.nl,,088-4818481,Opleidingsmanager Pabo,te bevestigen,Landelijk
