organisatie,tier,contactpersoon,e-mail,datum_verstuurd,kanaal,status,laatste_actie,volgende_actie,datum_follow_up,notitie
# STATUS-waarden: nog-versturen | verstuurd | geopend | gereageerd | gesprek-gepland | offerte-uit | gewonnen | afgewezen | geen-reactie
# KANAAL-waarden: e-mail | linkedin | telefoon | via-bureau | event
# Vul een regel per benaderde organisatie. Follow-up-regel: als na 7-10 dagen geen reactie -> status geen-reactie + volgende_actie 'follow-up mail' of 'bellen'.
Hogeschool KPZ,A,,servicepunt@kpz.nl,,e-mail,concept-in-gmail,Gmail-concept aangemaakt,openen + verzenden; na 7 dagen bellen 038-4217425,,Sterkste PABO-target; dichtbij
Speakers Academy,C,,info@speakersacademy.com,,e-mail,concept-in-gmail,Gmail-concept aangemaakt,openen + verzenden; eventueel bellen 010-4333322,,Route naar corporate
Marnix Onderwijscentrum,A,,moc@hsmarnix.nl,,e-mail,concept-in-gmail,Gmail-concept aangemaakt,openen + verzenden,,Nascholingsingang (moc@) geverifieerd
Netwerk Mediawijsheid,B,,info@mediawijzer.net,,e-mail,concept-in-gmail,Gmail-concept aangemaakt,openen + verzenden; vraag naar partner worden,,Adres geverifieerd (mediawijzer.net)
SLO,B,,info@slo.nl,,e-mail,concept-in-gmail,Gmail-concept aangemaakt,openen + verzenden,,Curriculum-aansluiting; adres geverifieerd
Novel-T,F,,contact@novelt.com,,e-mail,concept-in-gmail,Gmail-concept aangemaakt,openen + verzenden,,Regio Twente; adres geverifieerd
NCOI Learning,G,,freelance@ncoi.nl,,e-mail,concept-in-gmail,Gmail-concept aangemaakt,openen + verzenden; cv meesturen,,Subcontract-route; 4000+ freelancers
de Baak,G,,info@debaak.nl,,e-mail,concept-in-gmail,Gmail-concept aangemaakt,openen + verzenden,,Leiderschapsinstituut; associate trainer
Nyenrode,G,,info@nyenrode.nl,,e-mail,concept-in-gmail,Gmail-concept aangemaakt,openen + verzenden,,Executive education gastcollege
ECP,G,,info@ecp.nl,,e-mail,concept-in-gmail,Gmail-concept aangemaakt,openen + verzenden,,Digitale-samenleving events/programma's
Google Digitale Werkplaats,G,,,,partner,nog-versturen,geen cold-mail mogelijk,benader partner TA Nederland / vacature,,Trainers via uitvoerend partner
VodafoneZiggo Online Masters,G,,,,formulier,nog-versturen,geen direct adres,via online-masters.nl of Netwerk Mediawijsheid,,Educatieprogramma foundation
KPN maatschappelijk,G,,,,linkedin,nog-versturen,geen publiek speaker-adres,CSR/digitale-vaardigheden-lead zoeken op LinkedIn,,Corporate CSR
SIDN Fonds,G,,,,formulier,nog-versturen,financieringsroute,aanvraag via webformulier / bellen 053-4348512,,Subsidie ipv directe opdracht
Schouten & Nelissen,G,,,,vacature,nog-versturen,subcontract-route,aanmelden via sn.nl vacatures,,Groot trainingsinstituut
The Next Speaker,C/G,,,,formulier,nog-versturen,intake via formulier,aanmelden als spreker via thenextspeaker.com,,Tech/innovatie/AI-bureau - sterke match
Windesheim - Pabo,A,,,,linkedin,nog-versturen,template klaar (mails/01),contactpersoon zoeken via LinkedIn,,Opleidingsmanager Pabo zoeken
Saxion APO,A,,,,telefoon,nog-versturen,template klaar (mails/01),APO frontoffice bellen 088-0199190 voor juiste persoon,,Vraag naar lerarenopleider-coordinator
NHL Stenden - Pabo Emmen,A,,,,linkedin,nog-versturen,template klaar (mails/01),teamleider Pabo Emmen zoeken,,Regio Drenthe
