school,plaats,provincie,type,adres,postcode,email,contact_pagina,opmerking
Basisschool Menkotoren,Enschede,Overijssel,regulier,,,,https://scholenopdekaart.nl/basisscholen/enschede/7922/basisschool-menkotoren/contact/,e-mail nog ophalen
Openbare Basisschool La Res,Enschede,Overijssel,regulier openbaar,Rozenstraat 98,7514 ZR,,https://scholenopdekaart.nl/basisscholen/enschede/6651/openbare-basisschool-la-res/contact/,e-mail nog ophalen
Openbare Basisschool Prinseschool,Enschede,Overijssel,regulier openbaar,Prinsestraat 10,7513 AL,prinsestraat@prinseschool.nl,https://schoolregister.nl/basisscholen/enschede/openbare-basisschool-prinseschool/contact,GEVERIFIEERD
Ouverture,Enschede,Overijssel,regulier,Ouverturestraat 68,7534 CP,,https://scholenopdekaart.nl/basisscholen/enschede/45496/ouverture/contact/,e-mail nog ophalen
Enschedese Schoolvereniging,Enschede,Overijssel,regulier,Tichelweg 7,7523 AL,,https://scholenopdekaart.nl/basisscholen/enschede/8618/enschedese-schoolvereniging/contact/,e-mail nog ophalen
De Kubus,Enschede,Overijssel,regulier,Velveweg 50,7533 XK,,https://scholenopdekaart.nl/basisscholen/enschede/11737/de-kubus/contact/,e-mail nog ophalen
Buitenwijs,Zwolle,Overijssel,regulier,Palestrinalaan 915,8031 VA,,https://scholenopdekaart.nl/basisscholen/zwolle/26866/buitenwijs/contact/,e-mail nog ophalen
GBS De Sprankel,Zwolle,Overijssel,regulier gereformeerd,Klokkengieterlaan 3,8043 BA,,https://scholenopdekaart.nl/basisscholen/zwolle/6907/gereformeerde-academische-basisschool-de-sprankel/contact/,e-mail nog ophalen
Basisschool Westwijs,Zwolle,Overijssel,regulier,Papaverweg 57,8042 ED,,https://scholenopdekaart.nl/basisscholen/zwolle/21558/basisschool-westwijs/contact/,e-mail nog ophalen
SBO De Brug,Zwolle,Overijssel,speciaal basisonderwijs,,,,https://scholenopdekaart.nl/basisscholen/zwolle/5568/school-voor-speciaal-basisonderwijs-de-brug/contact/,SBO - past bij specialisatie
Michaelschool,Zwolle,Overijssel,regulier,Bachlaan 8,8031 HL,,https://scholenopdekaart.nl/basisscholen/zwolle/8415/michaelschool/contact/,e-mail nog ophalen
Facet Onderwijs en Opvoeding,Zwolle,Overijssel,regulier,,,,https://scholenopdekaart.nl/basisscholen/zwolle/9404/facet-onderwijs-en-opvoeding/contact/,e-mail nog ophalen
CDS de Zevensprong,Zwolle,Overijssel,regulier christelijk,Mannagras 30,8043 KD,,https://scholenopdekaart.nl/basisscholen/zwolle/9458/cds-de-zevensprong/contact/,e-mail nog ophalen
Het Stroomdal,Zwolle,Overijssel,regulier,Botlek 56,8032 CG,,https://scholenopdekaart.nl/basisscholen/zwolle/5572/het-stroomdal/contact/,e-mail nog ophalen
Obadjaschool SO/VSO ZML,Zwolle,Overijssel,speciaal onderwijs (ZML),,,,https://scholenopdekaart.nl/basisscholen/zwolle/8855/obadjaschool-so-vso-zml/contact/,SO/ZML - past bij specialisatie
CBS De Wendakker,Zwolle,Overijssel,regulier christelijk,Vuurtorenstraat 2,8043 VW,,https://scholenopdekaart.nl/basisscholen/zwolle/5573/cbs-de-wendakker/contact/,e-mail nog ophalen
Openbare Basisschool De Hovenschool,Deventer,Overijssel,regulier openbaar,,,info@hovenschool.nl,https://schoolregister.nl/basisscholen/deventer/openbare-basisschool-de-hovenschool/contact,GEVERIFIEERD
Openbare Basisschool Borgloschool,Deventer,Overijssel,regulier openbaar,,,info@borgloschool.nl,https://www.schoolregister.nl/basisscholen/deventer/openbare-basisschool-borgloschool/contact,GEVERIFIEERD
Adwaita,Deventer,Overijssel,regulier rooms-katholiek,Jacob van Deventerstraat 10,,info@adwaita.nl,,GEVERIFIEERD
Deventer Leerschool voor Basisonderwijs,Deventer,Overijssel,regulier,,,,https://scholenopdekaart.nl/basisscholen/deventer/11891/deventer-leerschool-voor-basisonderwijs/contact/,e-mail nog ophalen
't Iemenschoer,Hengelo,Overijssel,regulier,Ruijsdaelstraat 49,7556 WS,,https://scholenopdekaart.nl/basisscholen/hengelo/24759/t-iemenschoer/contact/,e-mail nog ophalen
De Horizon (nieuwkomersonderwijs),Hengelo,Overijssel,regulier nieuwkomers,Brusselstraat 15,7559 NN,,https://scholenopdekaart.nl/basisscholen/hengelo-overijssel/25874/de-horizon-nieuwkomersonderwijs/contact/,e-mail nog ophalen
De Stapsteen,Hengelo,Overijssel,regulier,Jacques Perkstraat 5-7,7552 JR,,https://scholenopdekaart.nl/basisscholen/hengelo-overijssel/22781/de-stapsteen/contact/,e-mail nog ophalen
IKC Esrein,Hengelo,Overijssel,regulier,Kerkstraat 116,7553 VX,,https://scholenopdekaart.nl/basisscholen/hengelo-overijssel/11820/ikc-esrein/contact/,e-mail nog ophalen
De Bouwsteen en het Fundament,Hengelo,Overijssel,regulier,Anna Reynvaanweg 50,7555 SG,,https://scholenopdekaart.nl/basisscholen/hengelo-overijssel/22772/de-bouwsteen-en-het-fundament/contact/,e-mail nog ophalen
De Bron,Hengelo,Overijssel,regulier,Henry Woodstraat 70,7558 CP,,https://scholenopdekaart.nl/basisscholen/hengelo-overijssel/8809/de-bron/contact/,e-mail nog ophalen
Scholengroep Twente Speciaal (VSO),Enschede,Overijssel,speciaal onderwijs,Mr. Troelstrastraat 9,7522 BD,,https://www.sotog.nl/onze-scholen/,SO/VSO - past bij specialisatie
VSO 't Korhoen,Hengelo,Overijssel,speciaal onderwijs,Korhoenstraat 2,7557 PC,,https://www.sotog.nl/onze-scholen/,SO/VSO - past bij specialisatie
SBO De Spinaker,Enschede,Overijssel,speciaal basisonderwijs,Poolmansweg,7545 LR,,https://www.sbo-spinaker.nl/,SBO - past bij specialisatie
SBO De Windroos,Oldenzaal,Overijssel,speciaal basisonderwijs,,,,https://www.sbodewindroos.nl/,SBO - past bij specialisatie
SBO De Vonder,,Overijssel,speciaal basisonderwijs,,,,https://sbodevonder.nl/,SBO - past bij specialisatie
Basisschool de Akker,Nijmegen,Gelderland,regulier,Akkerlaan 40,6533 BL,,https://scholenopdekaart.nl/basisscholen/nijmegen/7768/basisschool-de-akker/contact/,e-mail nog ophalen
Basisschool Brakkenstein,Nijmegen,Gelderland,regulier,Heyendaalseweg 235,6525 SG,,https://scholenopdekaart.nl/basisscholen/nijmegen/7763/basisschool-brakkenstein/contact/,e-mail nog ophalen
Basisschool de Hazesprong,Nijmegen,Gelderland,regulier,Bisonstraat 3,6531 PT,,https://scholenopdekaart.nl/basisscholen/nijmegen/11559/basisschool-de-hazesprong/contact/,e-mail nog ophalen
Basisschool de Driemaster,Nijmegen,Gelderland,regulier,Cortenaerpad 32,6512 GD,,https://scholenopdekaart.nl/basisscholen/nijmegen/7767/basisschool-de-driemaster/contact/,e-mail nog ophalen
Basisschool De Kleine Wereld,Nijmegen,Gelderland,regulier,Newtonstraat 50,6533 KG,,https://scholenopdekaart.nl/basisscholen/nijmegen/11562/basisschool-de-kleine-wereld/contact/,e-mail nog ophalen
Basisschool de Klokkenberg,Nijmegen,Gelderland,regulier,Kopseweg 7,6522 KB,,https://scholenopdekaart.nl/basisscholen/nijmegen/12223/basisschool-de-klokkenberg/contact/,e-mail nog ophalen
Basisschool De Klumpert,Nijmegen,Gelderland,regulier,Zijpendaalstraat 1,6535 PS,,https://scholenopdekaart.nl/basisscholen/nijmegen/8844/basisschool-de-klumpert/contact/,e-mail nog ophalen
St Nicolaasschool,Nijmegen,Gelderland,regulier rooms-katholiek,Antoinette v Pinxterenln 4,6532 CW,,https://scholenopdekaart.nl/basisscholen/Nijmegen/11558/st-nicolaasschool/contact/,e-mail nog ophalen
Brede School de Zonnewende,Nijmegen,Gelderland,regulier,Berberisstraat 4,6543 RN,,https://scholenopdekaart.nl/basisscholen/nijmegen/4915/brede-school-de-zonnewende/contact/,e-mail nog ophalen
Openbare Basisschool Het Web,Apeldoorn,Gelderland,regulier openbaar,Descartesstraat 10,7323 HX,,https://scholenopdekaart.nl/basisscholen/apeldoorn/10716/openbare-basisschool-het-web/contact/,e-mail nog ophalen
Basisschool Eben-Haezer,Apeldoorn,Gelderland,regulier reformatorisch,Valkeniersdonk 202,7326 KP,,https://scholenopdekaart.nl/basisscholen/apeldoorn/7737/basisschool-eben-haezer-locatie-apeldoorn/contact/,e-mail nog ophalen
Openbare Basisschool De Eendracht,Apeldoorn,Gelderland,regulier openbaar,,,,https://scholenopdekaart.nl/basisscholen/apeldoorn/10718/openbare-basisschool-de-eendracht/contact/,e-mail nog ophalen
Openbare Basisschool de Bundel,Apeldoorn,Gelderland,regulier openbaar,,,,https://scholenopdekaart.nl/basisscholen/apeldoorn/6846/openbare-basisschool-de-bundel/contact/,e-mail nog ophalen
Wereldschool De Vlinder,Apeldoorn,Gelderland,regulier,Markerichtersveld 1,7327 JH,,https://scholenopdekaart.nl/basisscholen/apeldoorn/24612/wereldschool-de-vlinder/contact/,e-mail nog ophalen
PCBO De Diamant het Rooster,Apeldoorn,Gelderland,regulier protestants-christelijk,,,,https://scholenopdekaart.nl/basisscholen/Apeldoorn/12222/pcbo-de-diamant-het-rooster/contact/,e-mail nog ophalen
Vrije School De Vijfster,Apeldoorn,Gelderland,vrijeschool,,,,https://scholenopdekaart.nl/basisscholen/apeldoorn/8394/vrije-school-de-vijfster/contact/,e-mail nog ophalen
Katholieke Basisschool de Laarhorst,Arnhem,Gelderland,regulier rooms-katholiek,,,,https://scholenopdekaart.nl/basisscholen/arnhem/9351/katholieke-basisschool-de-laarhorst/contact/,e-mail nog ophalen
De Gazelle,Arnhem,Gelderland,regulier,,,,https://scholenopdekaart.nl/basisscholen/arnhem/5489/de-gazelle/contact/,e-mail nog ophalen
Christelijke Basisschool De Wijzer,Arnhem,Gelderland,regulier christelijk,,,,https://scholenopdekaart.nl/basisscholen/arnhem/5477/christelijke-basisschool-de-wijzer/contact/,e-mail nog ophalen
Basisschool Kunstrijk,Arnhem,Gelderland,regulier,,,,https://scholenopdekaart.nl/basisscholen/arnhem/5476/basisschool-kunstrijk/contact/,e-mail nog ophalen
Basisschool 't Panorama,Arnhem,Gelderland,regulier,,,,https://scholenopdekaart.nl/basisscholen/arnhem/26041/basisschool-t-panorama/contact/,e-mail nog ophalen
Hugo de Grootschool,Arnhem,Gelderland,regulier,,,,https://scholenopdekaart.nl/basisscholen/arnhem/6954/hugo-de-grootschool/contact/,e-mail nog ophalen
Margarethaschool,Arnhem,Gelderland,regulier rooms-katholiek,,,,https://scholenopdekaart.nl/basisscholen/arnhem/9354/margarethaschool/contact/,e-mail nog ophalen
De Parkschool,Arnhem,Gelderland,regulier,,,,https://scholenopdekaart.nl/basisscholen/arnhem/6953/de-parkschool/contact/,e-mail nog ophalen
De Rank,Arnhem,Gelderland,regulier,,,,https://scholenopdekaart.nl/basisscholen/arnhem/26268/de-rank/contact/,e-mail nog ophalen
De Schatgraaf,Arnhem,Gelderland,regulier,,,,https://scholenopdekaart.nl/basisscholen/arnhem/6961/de-schatgraaf/contact/,e-mail nog ophalen
IKC Maria in Campis,Assen,Drenthe,regulier,,,,https://schoolregister.nl/basisscholen/assen,e-mail nog ophalen
Kindcentrum Emmaschool,Assen,Drenthe,regulier,,,,https://schoolregister.nl/basisscholen/assen,e-mail nog ophalen
Vrije School Assen,Assen,Drenthe,vrijeschool,,,,https://schoolregister.nl/basisscholen/assen,e-mail nog ophalen
Basisschool de Vuurvogel,Assen,Drenthe,regulier,,,,https://schoolregister.nl/basisscholen/assen,e-mail nog ophalen
