tier,organisatie,type,plaats_regio,website,contact_email,telefoon,ingang_wie_benaderen,contact_status,notitie
A,Stichting Lezen en Schrijven,Expertise laaggeletterdheid,Den Haag / landelijk,lezenenschrijven.nl,info@lezenenschrijven.nl,070-3022660,Programma / partnerships,geverifieerd,Dé laaggeletterdheid-org; 1000+ netwerkpartners - CONCEPT KLAAR
A,Pharos,Expertisecentrum gezondheidsverschillen,Utrecht / landelijk,pharos.nl,info@pharos.nl,030-2349800,Team begrijpelijke informatie / gezondheidsvaardigheden,geverifieerd,Begrijpelijke info in de zorg; laaggeletterdheid - CONCEPT KLAAR
A,Movisie,Kennisinstituut sociale vraagstukken,Utrecht / landelijk,movisie.nl,info@movisie.nl,030-7892000,Programma sociaal domein / basisvaardigheden,geverifieerd,Sociaal domein; toegankelijkheid - CONCEPT KLAAR
A,ProDemos,Huis voor democratie en rechtsstaat,Den Haag,prodemos.nl,info@prodemos.nl,070-7570200,Educatie / programmaontwikkeling,geverifieerd,Legt democratie/rechtsstaat begrijpelijk uit - CONCEPT KLAAR
A,Gebruiker Centraal (Netwerk Direct Duidelijk),Netwerk duidelijke overheidscommunicatie,landelijk (ICTU),gebruikercentraal.nl,,,Netwerkcoordinator Direct Duidelijk,te bevestigen,Netwerk voor duidelijke overheidstaal; word deelnemer/spreker
A,Genootschap Onze Taal,Taalorganisatie + zakelijke taaltraining,Utrecht / landelijk,onzetaal.nl,,,Afdeling taaltrainingen / zakelijk,te bevestigen,Doet zakelijke taaltraining; mogelijk samenwerking/associate
A,Logeion,Beroepsvereniging communicatie,Den Haag,logeion.nl,,,Vakgroep begrijpelijke taal / partnerships,te bevestigen,Netwerk van communicatieprofessionals; zichtbaarheid + leads
A,Expertisepunt Basisvaardigheden,Kennis- & ondersteuningspunt,landelijk,basisvaardigheden.nl,,,Programmateam,te bevestigen,Bundelt kennis over taal/rekenen/digitaal; netwerk
A,Stichting ABC,Ervaringsdeskundigen laaggeletterdheid,landelijk,stichtingabc.nl,,,Coordinator co-creatie / ervaringsdeskundigen,te bevestigen,Betrekt ervaringsdeskundigen; sterk voor co-creatie-aanpak
A,VNG (Duidelijke Overheidscommunicatie),Vereniging van Nederlandse Gemeenten,Den Haag,vng.nl,,,Project Duidelijke Overheidscommunicatie,te bevestigen,Ingang naar gemeenten; project loopt
A,Taalunie,Beleidsorganisatie Nederlandse taal,Den Haag,taalunie.org,,,Programma begrijpelijke taal,te bevestigen,Investeert in begrijpelijke taal; beleidsnetwerk
B,Wijzer in geldzaken,Platform financiële educatie (Min. Financien),Den Haag / landelijk,wijzeringeldzaken.nl,info@wijzeringeldzaken.nl,,Programma / netwerk financiele educatie,geverifieerd,Koninklijke schil (erevoorzitter Maxima); netwerk van financiele partijen - CONCEPT KLAAR
B,Nibud,Nationaal Instituut voor Budgetvoorlichting,Utrecht,nibud.nl,,030-2391350,Financiele educatie / lesprogramma's,formulier/telefoon,Ontwikkelt financiele educatie; benader via contactformulier
B,Pensioenfederatie,Branchevereniging pensioenfondsen,Den Haag,pensioenfederatie.nl,,,Communicatie / begrijpelijk pensioen,formulier,Koepel bijna alle pensioenfondsen; thema begrijpelijk pensioen
B,Verbond van Verzekeraars,Brancheorganisatie verzekeraars,Den Haag,verzekeraars.nl,pers@verzekeraars.nl,070-3338704,Klantbelang / financiele educatie,te bevestigen,Thema begrijpelijke polisvoorwaarden; pers@ als eerste ingang
B,APG,Pensioenuitvoerder,Heerlen / Amsterdam,apg.nl,,,Communicatie / klantcommunicatie,linkedin/formulier,Groot; benader comms-lead via LinkedIn
B,PGGM,Pensioenuitvoerder,Zeist,pggm.nl,,,Klantcommunicatie,linkedin/formulier,Idem; comms/deelnemercommunicatie
B,Nationale-Nederlanden,Verzekeraar / financieel,Den Haag,nn.nl,,,L&D / klantcommunicatie,linkedin/formulier,Corporate; via comms of L&D-lead
B,Achmea,Verzekeraar (o.a. Zilveren Kruis),Zeist / Apeldoorn,achmea.nl,,,Klantcommunicatie / academie,linkedin/formulier,Grote werkgever; academie + klantcommunicatie
B,a.s.r.,Verzekeraar,Utrecht,asr.nl,,,Klantcommunicatie,linkedin/formulier,Corporate; comms-lead via LinkedIn
B,Rabobank,Bank / cooperatie,Utrecht / landelijk,rabobank.nl,,,Financiele educatie / community,linkedin/formulier,Doet veel financiele educatie & community-events
