organisatie,tier,contactpersoon,e-mail,datum_verstuurd,kanaal,status,laatste_actie,volgende_actie,datum_follow_up,notitie
# DOEL: kennismaken / koffie, GEEN opdracht. STATUS: nog-versturen | concept-in-gmail | verstuurd | gereageerd | koffie-gepland | kennis-gemaakt | geen-reactie
Stichting Lezen en Schrijven,A,,info@lezenenschrijven.nl,,e-mail,concept-in-gmail,Gmail-concept (kennismaking),openen + verzenden,,Netwerk-org; veel verbindingen
Pharos,A,,info@pharos.nl,,e-mail,concept-in-gmail,Gmail-concept (kennismaking),openen + verzenden,,Bridge naar zorg-campagne
Movisie,A,,info@movisie.nl,,e-mail,concept-in-gmail,Gmail-concept (kennismaking),openen + verzenden,,Sociaal domein
ProDemos,A,,info@prodemos.nl,,e-mail,concept-in-gmail,Gmail-concept (kennismaking),openen + verzenden,,Legt democratie begrijpelijk uit
Wijzer in geldzaken,B,,info@wijzeringeldzaken.nl,,e-mail,concept-in-gmail,Gmail-concept (kennismaking),openen + verzenden,,Netwerk financiele educatie
Gebruiker Centraal,A,,,,linkedin,nog-versturen,adres te bevestigen,contact zoeken via site/LinkedIn,,Netwerk Direct Duidelijk
Genootschap Onze Taal,A,,,,e-mail,nog-versturen,adres te bevestigen,taaltraining-afdeling zoeken,,Zakelijke taaltraining
Logeion,A,,,,linkedin,nog-versturen,adres te bevestigen,via LinkedIn,,Communicatie-beroepsvereniging
Expertisepunt Basisvaardigheden,A,,,,e-mail,nog-versturen,adres te bevestigen,via site,,Kennisnetwerk
Stichting ABC,A,,,,e-mail,nog-versturen,adres te bevestigen,via site,,Ervaringsdeskundigen
Nibud,B,,,,formulier,nog-versturen,formulier,via contactformulier,,Financiele educatie
Verbond van Verzekeraars,B,,pers@verzekeraars.nl,,e-mail,nog-versturen,pers@ als ingang,evt. mailen voor juiste persoon,,Begrijpelijke polissen
Pensioenfederatie,B,,,,formulier,nog-versturen,formulier,via contactpagina,,Begrijpelijk pensioen
