school,categorie,plaats,provincie,email,contact_status,datum_verstuurd,status,laatste_actie,volgende_actie,datum_follow_up,notitie
# Scholen die buiten het standaard onderwijs vallen (special needs, hoogbegaafd, justitiele jeugd, democratisch, etc.). Nog niet eerder benaderd.
# Warme intro (Kevins eigen template), schone HTML-links, geen em dashes (zie SCHRIJFREGELS.md).
# STATUS: concept-in-gmail | verstuurd | gereageerd | gesprek-gepland | gewonnen | afgewezen | geen-reactie
De Berkenschutse,SO/VSO expertise (o.a. epilepsie/complex),Heeze,Noord-Brabant,informatie@berkenschutse.nl,geverifieerd,,concept-in-gmail,concept klaar,openen + verzenden,,expertisecentrum (V)SO
Portalis / VSO Veenhuizen (JJI),Justitiele jeugdinrichting onderwijs,Veenhuizen,Drenthe,d.schroor@elker.nl,geverifieerd,,concept-in-gmail,concept klaar (persoonlijk aan Dewi),openen + verzenden,,teamleider Dewi Schroor (Elker/Het Poortje); REGIO
Wings Agora,Zelfsturend/Agora-onderwijs (VO),Roermond,Limburg,info@wingsroermond.nl,geverifieerd,,concept-in-gmail,concept klaar,openen + verzenden,,bijzondere pedagogiek
De Twijn,Mytyl/tyltyl / revalidatie SO,Zwolle,Overijssel,regionaalexpertiseteam@detwijn.nl,geverifieerd,,concept-in-gmail,concept klaar,openen + verzenden,,REGIO; adres = expertiseteam
De Achtbaan,Voltijd hoogbegaafdenonderwijs (PO),Utrecht,Utrecht,info.deachtbaan@ksu.nl,geverifieerd,,concept-in-gmail,concept klaar,openen + verzenden,,hoogbegaafd
Democratische school De Ruimte,Democratisch onderwijs,Soest,Utrecht,info@deruimtesoest.nl,geverifieerd,,concept-in-gmail,concept klaar,openen + verzenden,,democratische school
Leonardoschool Dordrecht,Voltijd hoogbegaafdenonderwijs (PO),Dordrecht,Zuid-Holland,leonardo@h3o.nl,geverifieerd,,concept-in-gmail,concept klaar,openen + verzenden,,onderdeel H3O; hoogbegaafd
Scholengemeenschap Harreveld,VSO cluster 4 / gesloten jeugdzorg,Harreveld,Gelderland,sgharreveld@aloysiusstichting.nl,geverifieerd,,concept-in-gmail,concept klaar,openen + verzenden,,Aloysius Stichting; JeugdzorgPlus
OZL Noord (onderwijs aan zieke leerlingen),Onderwijs aan zieke kinderen,regio Noord,Groningen/Drenthe/Fryslan,info@ozlnoord.nl,geverifieerd,,concept-in-gmail,concept klaar,openen + verzenden,,Ziezon-netwerk; regio Noord
VSO Het Ginnekencollege (JJI Den Hey-Acker),Justitiele jeugdinrichting onderwijs,Breda,Noord-Brabant,vso-ginneken@dji.minjus.nl,geverifieerd,,concept-in-gmail,concept klaar (fotografie-jeugdgevangenis hook),openen + verzenden,,Koraal/DJI; sterke hook
Kentalis Dr. J. de Graafschool VSO,Cluster 2 (doof/slechthorend/TOS/CMB),Groningen,Groningen,infodegraafschool@kentalis.nl,geverifieerd,,concept-in-gmail,concept klaar,openen + verzenden,,REGIO noord; visueel/beeldend hook
Kentalis College Utrecht VSO,Cluster 2 (doof/slechthorend/TOS/CMB),Utrecht,Utrecht,info-utrecht-vso@kentalis.nl,geverifieerd,,concept-in-gmail,concept klaar,openen + verzenden,,visueel/beeldend hook
# --- Volgende ronde / nog adres te verifieren ---
ISK / nieuwkomersonderwijs,Internationale schakelklas,divers,divers,,te bevestigen,,nog-versturen,,school opzoeken (Ithaka adres gemaskeerd),,
Kentalis Guyotschool VSO Vries,Cluster 2,Vries,Drenthe,so@kentalis.nl,te bevestigen,,nog-versturen,,adres so@ is generiek - schoolspecifiek zoeken,,REGIO Drenthe
JJI Teylingereind,Justitiele jeugdinrichting onderwijs,Sassenheim,Zuid-Holland,,te bevestigen,,nog-versturen,,beter contact dan aanmeldingen@,,
Visio / Bartimeus (cluster 1 blind/slechtziend),Cluster 1,divers,divers,,te bevestigen,,nog-versturen,,onderwijsafdeling opzoeken,,
