school_or_org,type,plaats,waarom,email,contact_status,datum_concept,status,notitie
# Doelgroep: out-of-the-box scholen die in gamification / game-based / eigenaarschap geloven, plus netwerken die zulke scholen bereiken. Pitch = gamification + AI + gamedesign teamtraining/leerlijn, verwijst naar kevinstorm.eu, met lichte funding-hook (basisvaardigheden/digitale geletterdheid/cultuureducatie). NB: GEC/Aylin NIET benaderen (samenwerking gestopt).
UniC,innovatief VO (gepersonaliseerd/eigenaarschap),Utrecht,leerlingen veel eigen regie; InnovatieImpuls-school,info@unic-utrecht.nl,geverifieerd,2026-09-12,concept-in-gmail,gamification/gamedesign teamtraining + leerlijn
De Nieuwste School,innovatief VO (thematisch/onderzoekend),Tilburg,thematisch onderzoekend leren; gamedesign past perfect,info@denieuwsteschool.nl,geverifieerd,2026-09-12,concept-in-gmail,projectweek + teamtraining hook
Wittering.nl,vernieuwend PO (rijke leeromgeving),Rosmalen,20 jr vernieuwend; kind-actieve leeromgeving,info@wittering.nl,geverifieerd,2026-09-12,concept-in-gmail,nieuwe media/AI/gamedesign teamtraining coaches
eduScrum,netwerk/community (agile/zelfsturend leren),Alphen a/d Rijn,netwerk van innovatieve docenten; samenwerking/doorverwijzing,info@eduscrum.nl,geverifieerd,2026-09-12,concept-in-gmail,PARTNER-pitch (niet school): samen aanbieden aan hun netwerk
# --- HOLD: adres niet schoon geverifieerd ---
Laterna Magica,natuurlijk leren PO (Agora-achtig),Amsterdam IJburg,social-constructivist natuurlijk leren,,te bevestigen,,nog-versturen,info@laternamagica.nl waarschijnlijk; verifieren
Cygnus Gymnasium,InnovatieImpuls VO,Amsterdam,innovatie-impuls gymnasium,,te bevestigen,,nog-versturen,info@cygnusgymnasium.nl waarschijnlijk; verifieren
Kunskapsskolan Nederland,netwerk (50 scholen gepersonaliseerd),Den Haag,netwerk-ingang naar ~50 innovatieve scholen,,te bevestigen,,nog-versturen,geen schoon algemeen e-mailadres; via contactformulier
# --- NIET benaderen (al eerder gemaild) ---
De Werkplaats Kindergemeenschap,vernieuwend PO+VO (Kees Boeke),Bilthoven,AL GEMAILD 8 sep (werkplaatsvo@wpkeesboeke.nl),werkplaatsvo@wpkeesboeke.nl,al benaderd,2026-09-08,niet-dubbel,eerdere even-voorstellen campagne
