organisation,type,land,waarom,email,contact_status,datum_concept,status,notitie
# Internationale go-to-market voor de gamification-cursus. Focus op AGGREGATORS (Erasmus+ aanbieders, Delightex-partnerprogramma, innovatieve schoolnetwerken), niet losse scholen. NB: GEC Academy NIET benaderen.
Delightex Edu,platform/partnerprogramma,DE/internationaal,Training Partner + Ambassador; 150+ landen; kern van S2,info-edu@delightex.com,geverifieerd,2026-09-12,concept-in-gmail,partner/ambassador pitch rond Game Design with Delightex
Europass Teacher Academy,Erasmus+ aanbieder (grootste),IT/EU (36 locaties),250+ cursussen; ~12k docenten/jr; trainer + catalogus,info@teacheracademy.eu,geverifieerd,2026-09-12,concept-in-gmail,trainer + course toevoegen; zij certificeren eigen trainers
Primera,Erasmus+ aanbieder (5-ster),SI/EU,21e-eeuws lesgeven; trainer + catalogus,info@skupinaprimera.si,geverifieerd,2026-09-12,concept-in-gmail,trainer + course toevoegen
# --- Volgende ronde / adres te verifieren ---
Teachersrise,Erasmus+ aanbieder,IT (Padova),alleen contactformulier,,te bevestigen,,nog-versturen,email verifieren
Erasmus Learning Academy (ELA),Erasmus+ aanbieder,IT (Bologna),catalogus 2026-27 IT/ES/PT/HR/GR; contactformulier,,te bevestigen,,nog-versturen,email verifieren
iDevelop,Erasmus+ aanbieder,IE/EU,heeft al AI-in-education cursus; contactformulier,,te bevestigen,,nog-versturen,email verifieren
Ashoka Changemaker Schools,innovatief schoolnetwerk,wereldwijd,gelooft in changemaking/vernieuwend onderwijs,,te bevestigen,,nog-versturen,via ashoka.org programmateam
HundrED,onderwijsinnovatie-spotlight,FI/wereldwijd,cursus laten featuren = bereik + geloofwaardigheid,,te bevestigen,,nog-versturen,indienen via hundred.org
CIS / ECIS / COBIS,internationale-scholen-associaties,EU/wereldwijd,PD + congressen; boeken externe trainers,,te bevestigen,,nog-versturen,workshop pitchen op congres
# --- NIET benaderen ---
GEC Academy,Erasmus+ aanbieder,NL/TR,samenwerking gestopt,euprojects@gec.academy,niet-benaderen,,do-not-contact,op verzoek Kevin
