tier,organisatie,type,plaats_regio,website,contact_email,telefoon,ingang_wie_benaderen,contact_status,notitie
A,Stichting de Vrolijkheid,Kunst & nieuwe media in azc's (kinderen/jongeren),landelijk,vrolijkheid.nl,wesley@vrolijkheid.nl,,Coordinator kunstenaars/vrijwilligers,geverifieerd,TOPMATCH: nieuwe media + veerkracht voor azc-kinderen - CONCEPT KLAAR
A,New Dutch Connections,Theater & creatie met jonge vluchtelingen,Utrecht,newdutchconnections.nl,info@newdutchconnections.nl,06-53441677,ToekomstAcademie / educatie,geverifieerd,Creatie + training met jonge vluchtelingen (16-27) - CONCEPT KLAAR; ze zochten net een educatiemedewerker
A,VluchtelingenWerk Nederland,Vluchtelingenondersteuning & educatie,Amsterdam / landelijk,vluchtelingenwerk.nl,scholen@vluchtelingenwerk.nl,020-3000111,Team educatie / scholen,geverifieerd,Onderwijs-/voorlichtingstak - CONCEPT KLAAR
A,War Child Nederland,Psychosociale hulp via spel & creatie,Amsterdam,warchild.nl,info@warchild.nl,020-4227777,TeamUp / methodiek,geverifieerd,Spel/creatie voor (gevluchte) kinderen; TeamUp - CONCEPT KLAAR
A,COA,Opvang asielzoekers,landelijk,coa.nl,,,Activiteitenbegeleiding / educatie per locatie,linkedin/formulier,Geen publiek e-mailadres; benader via locatie/LinkedIn
A,Nidos,Jeugdbescherming amv's (vluchtelingjongeren),Utrecht / landelijk,nidos.nl,,088-5011200,Bureau Opvang / ontwikkeling,te bevestigen,media@ is pers; zoek juiste afdeling voor activiteiten
A,Stichting voor Vluchteling-Studenten UAF,Onderwijs & begeleiding vluchtelingstudenten,Utrecht,uaf.nl,,,Onderwijs / begeleiding,te bevestigen,Sluit aan op onderwijs + vluchtelingen
A,Save the Children Nederland,Kinderrechten & hulp,Den Haag,savethechildren.nl,,,Programma's Nederland,te bevestigen,Partner van War Child in TeamUp
A,Refugee Company,Werk & ontwikkeling vluchtelingen,Amsterdam,refugeecompany.com,,,Programma's,te bevestigen,Creatieve/werk-projecten met vluchtelingen
A,Nieuwlander,Meedoen & taal voor nieuwkomers,landelijk,nieuwlander.nl,,,Programma's,te bevestigen,Nieuwkomers-participatie
B,MEE Samen,Clientondersteuning mensen met beperking,Drenthe/Overijssel/Gelderland,meesamen.nl,info@meesamen.nl,088-6330633,Inclusieprojecten / samenwerking,geverifieerd,REGIO KEVIN; meedoen met een beperking - CONCEPT KLAAR
B,Pluryn,Jeugd & gehandicaptenzorg (complexe zorg/LVB),Nijmegen / landelijk,pluryn.nl,,088-7795000,Behandeling/onderwijs (Werkenrode),te bevestigen,LVB-jongeren + speciaal onderwijs; klantenbureau is client-intake
B,Ambiq,LVB & jeugd(psychiatrie),Twente/Overijssel,ambiq.nl,,,Behandeling / dagbesteding,te bevestigen,REGIO KEVIN; LVB + gedrag
B,Karakter,Kinder- & jeugdpsychiatrie,Gelderland/Overijssel,karakter.com,,,Behandeling / innovatie,te bevestigen,Kinderen met psychiatrische problematiek
B,Kentalis,Cluster 2 (TOS/doof/slechthorend),landelijk,kentalis.nl,,,Onderwijs / expertise,te bevestigen,Al bekend uit SO-lijst; special needs
B,Koninklijke Visio,Cluster 1 (visueel),landelijk,visio.org,,,Onderwijs / expertise,te bevestigen,Visueel beperkte kinderen/volwassenen
B,Aveleijn,Gehandicaptenzorg (VG),Borne/Twente,aveleijn.nl,,,,AFGESLOTEN - niet benaderen,Kennisgemaakt met Christel: mooie org maar geen inhoudelijke match
C,Augeo Foundation,Training professionals kindveiligheid,Driebergen,augeo.nl,relatiebeheer@augeo.nl,0343-536040,Relatiebeheer / trainingen organisaties,geverifieerd,Staff-training-angle; veilig & veerkrachtig opgroeien - CONCEPT KLAAR
C,ARQ Nationaal Psychotrauma Centrum (IVP/Academy),Veerkracht & trauma-training professionals,Diemen,arq.org,,,ARQ IVP / ARQ Academy,te bevestigen,Traint teams in omgaan met heftige gebeurtenissen; peer/specialist
C,Trimbos-instituut,Kennisinstituut mentale gezondheid,Utrecht,trimbos.nl,,,Programma preventie/veerkracht,te bevestigen,Mentale gezondheid & preventie
C,113 Zelfmoordpreventie,Suicidepreventie & training,Amsterdam,113.nl,,,Trainingen / educatie,te bevestigen,Traint professionals; zware-dagen-thema
