nr,school,plaats,provincie,type,adres,postcode,telefoon,email,email_status,website,draft
1,SBO De Spinaker,Enschede,Overijssel,speciaal basisonderwijs,Poolmansweg 245,7545 LR,0534318848,directie@sbo-spinaker.nl,geverifieerd,sbo-spinaker.nl,ja
2,SBO De Sluis,Zwolle,Overijssel,speciaal basisonderwijs,Zwarteweg 120,8017 AZ,0384536123,administratie@sbo-desluis.nl,geverifieerd,sbo-desluis.nl,ja
3,SBO De Catamaran,Emmen,Drenthe,speciaal basisonderwijs,De Veenkampen,7822 GP,0591613899,sbo-catamaran@oo-emmen.nl,geverifieerd,sbo-catamaran.nl,ja
4,Roelant-Berk en Beukschool,Nijmegen,Gelderland,speciaal onderwijs (cluster),Hengstdal 4,6522 JV,0243220721,info@entreaonderwijs.nl,geverifieerd (bestuur),rbb-school.nl,ja
5,SO Fryslan,Drachten,Friesland,speciaal onderwijs (cluster 3),Morra 2-3,9204 KH,0512584594,info@so-fryslan.nl,geverifieerd (bestuur),so-fryslan.nl,ja
6,SBO De Brug,Zwolle,Overijssel,speciaal basisonderwijs,Ruiterlaan 14,8019 BR,0384212419,info@sbodebrug.nl,geverifieerd,sbodebrug.nl,ja
7,Obadjaschool SO/VSO ZML,Zwolle,Overijssel,speciaal onderwijs (ZML),Willem Barentszstraat 72,8023 WS,0384540642,directie@so-zwolle.nl,geverifieerd (bestuur SSOGG),so-zwolle.nl,nee
8,SBO De Windroos,Oldenzaal,Overijssel,speciaal basisonderwijs,Lariksstraat 11,7572 DE,0541532418,dir.windroos@konot.nl,geverifieerd,sbodewindroos.nl,nee
9,SBO De Vonder,Slagharen,Overijssel,speciaal basisonderwijs,Veenstraat 2,7776 BE,0523681892,directie.sbovonder@catent.nl,geverifieerd,sbodevonder.nl,nee
10,De Linde (SO/VSO),Deventer,Overijssel,speciaal onderwijs,Groenewold 188,7414 CK,0570624700,info@linde-deventer.nl,geverifieerd,linde-deventer.nl,nee
11,SBO De Toermalijn,Emmen,Drenthe,speciaal basisonderwijs,Sparrenlaan 5,7822 EM,0591658066,toermalijn@primenius.nl,geverifieerd,toermalijn-sbo.nl,nee
12,ZML Thriantaschool,Emmen,Drenthe,speciaal onderwijs (ZML),Zuidlaarderbrink 4,7812 GE,0591652190,administratie@zml-thriantaschool.nl,geverifieerd,zml-thriantaschool.nl,nee
13,SBO De Carrousel (RENN4),Hoogeveen,Drenthe,speciaal basisonderwijs,De Wielewaal 1,7905 GX,0528234444,administratie@sbodecarrousel.nl,geverifieerd,sbodecarrousel.nl,nee
14,Duisterhoutschool,Oosterwolde,Friesland,speciaal onderwijs (ZML),Boekhorsterweg 15,8431 CW,0516521165,info@duisterhout.nl,geverifieerd,duisterhout.nl,nee
15,It Twaluk,Leeuwarden,Friesland,speciaal onderwijs (SO/VSO ZML),Haydnstraat 2,8915 BH,0582122358,info@ittwaluk.nl,geverifieerd,ittwaluk.nl,nee
16,SBO de Windroos (loc. Goffert),Nijmegen,Gelderland,speciaal basisonderwijs,Tapirstraat 2,6532 AL,0243590900,info@windroosgoffert.nl,geverifieerd,windroosgoffert.nl,nee
17,SG Mariendael (VSO),Arnhem,Gelderland,voortgezet speciaal onderwijs,Middachtensingel 12,6825 HN,0263526600,info@mariendael.nl,geverifieerd,mariendael.nl,nee
18,De Vorm KSBO,Apeldoorn,Gelderland,speciaal basisonderwijs,Waleweingaarde 114,7329 BD,0555335472,directie@sbodevorm.nl,geverifieerd,sbodevorm.nl,nee
19,SO 't Iemenschoer,Hengelo,Overijssel,speciaal onderwijs (ZML),Ruijsdaelstraat 49,7556 WS,0742918727,info@iemenschoer.nl,geverifieerd,iemenschoer.nl,nee
20,SO De Stapsteen (Attendiz),Hengelo,Overijssel,speciaal onderwijs,Jacques Perkstraat 5-7,7552 JR,0742504540,stapsteen@attendiz.nl,geverifieerd,destapsteen-attendiz.nl,nee
21,De Bouwsteen en het Fundament (Attendiz),Hengelo,Overijssel,speciaal onderwijs (SO/VSO),Anna Reynvaanweg 50,7555 SG,0887776190,debouwsteen@attendiz.nl,geverifieerd,debouwsteen-attendiz.nl,nee
22,SBO Facet,Zwolle,Overijssel,speciaal basisonderwijs,Palestrinalaan 915,8031 VA,0384234780,directie.sbofacet@catent.nl,geverifieerd,sbofacet.nl,nee
23,Kentalis De Skelp,Drachten,Friesland,speciaal onderwijs (cluster 2 TOS),Noorderhogeweg 24,9207 DP,0512514974,info-skelp@kentalis.nl,geverifieerd,skelp.nl,nee
24,SO Dr. Herderscheeschool,Almelo,Overijssel,speciaal onderwijs,Schapendijk 3,7608 LV,0546861926,info@herderschee.nl,geverifieerd,herderschee.nl,nee
25,SBO De Regenboog,Ede,Gelderland,speciaal basisonderwijs,Generaal Spoorlaan 4,6711 LX,0318658770,directie@sboderegenboog.cnsede.nl,geverifieerd,sboderegenboog.cnsede.nl,nee
26,Kentalis Enkschool Kampen,Kampen,Overijssel,speciaal onderwijs (cluster 2 TOS),Marinus Postlaan 1b,8264 PB,0384554400,info-enkschool@kentalis.nl,geverifieerd,kentalis.nl,nee
