organisatie,type,plaats,regio,soort,email,contact_status,datum_verstuurd,status,laatste_actie,volgende_actie,datum_follow_up,notitie
# Doelgroep: besturen/organisaties die NU al structureel geld ontvangen (basisvaardigheden/digitale geletterdheid; vanaf 2027 vaste bekostiging voor elke school) + CmK-cultuurgeld. Zo weten we dat er budget zit; de subsidie is de reden van selectie, NIET de insteek van de mail.
# TOON: Kevins warme 'Even voorstellen'-golden pitch, aangepast naar teamtrainingen (team sterker maken, docenten coachen, leerlijn). Subsidies worden bewust NIET direct genoemd. Verwijst naar kevinstorm.eu. Geen em dashes, schone HTML-links.
# STATUS: concept-in-gmail | verstuurd | gereageerd | gesprek-gepland | gewonnen | afgewezen | geen-reactie
LKCA,Kennisnetwerk (netwerk speciaal onderwijs),Utrecht,landelijk,structureel netwerk,info@lkca.nl,geverifieerd,,concept-in-gmail,concept klaar,openen + verzenden,,op de kaart komen bij netwerk cultuureducatie SO
Méér Muziek in de Klas,Structureel programma (gespecialiseerd onderwijs),Amsterdam,landelijk,structureel,mkorffdegidts@meermuziekindeklas.nl,geverifieerd,,concept-in-gmail,concept klaar,openen + verzenden,,coordinator gespecialiseerd onderwijs; muziekachtergrond-hook
De Onderwijsspecialisten,SO/SBO/VSO bestuur (30 scholen),Arnhem,Gelderland/Achterhoek,ontvanger basisv.+CmK-SO,info@deonderwijsspecialisten.nl,AL BENADERD,2026-07-11,gereageerd,OVERLAP: al in juli benaderd, warme reactie (Pascal wil rond de tafel). Concept VERWIJDERD.,opvolgen via bestaande thread (niet opnieuw cold mailen),,DUPLICAAT - warme lead
Heliomare,SO/VSO/EMB + revalidatie,Wijk aan Zee,Noord-Holland,ontvanger basisv.,info@heliomare.nl,geverifieerd,,concept-in-gmail,concept klaar,openen + verzenden,,mytyl/EMB fit
OOZ (Openbaar Onderwijs Zwolle),PO+VO bestuur,Zwolle,Overijssel,ontvanger basisv.,contact@ooz.nl,BESTAANDE KLANT,,klant,OVERLAP: werkt al met OOZ (Gerie Schinkel; lessenserie jan 27; facturen). Concept VERWIJDERD.,niet cold mailen; loopt al via Gerie,,BESTAANDE KLANT (incl. De Ambelt)
Catent,PO bestuur (40 scholen),Zwolle,Overijssel,ontvanger basisv.,info@catent.nl,DEELS BENADERD,2026-07-23,verstuurd,OVERLAP: meerdere Catent-scholen zaten in de juli-massamail (nieuwe media). Concept VERWIJDERD om dubbel te voorkomen.,evt. later bewust bestuur benaderen,,scholen al gemaild
mijnplein,PO bestuur (22 scholen),Raalte,Overijssel (Salland),ontvanger basisv.,contact@mijnplein.nl,geverifieerd,,concept-in-gmail,concept klaar,openen + verzenden,,REGIO
PrimAH,PO bestuur (12 scholen),Gieten,Drenthe,ontvanger basisv.+CmK,info@primah.org,geverifieerd,,concept-in-gmail,concept klaar,openen + verzenden,,Compenta-hook (Drenthe)
CKC Drenthe,PO bestuur (30 kindcentra),Assen,Drenthe,ontvanger basisv.+CmK,info@ckcdrenthe.nl,geverifieerd,,concept-in-gmail,concept klaar,openen + verzenden,,Compenta-hook (Drenthe)
Konot,PO bestuur (23 scholen),Oldenzaal,Overijssel (NO Twente),ontvanger basisv.,secretariaat@konot.nl,DEELS BENADERD,2026-07-23,verstuurd,OVERLAP: Konot-school in juli-massamail + eerder werk (Aloysiusschool 2017). Concept VERWIJDERD.,evt. later bewust bestuur benaderen,,scholen/historie al
Dr. Schaepmanstichting,PO bestuur (Hengelo; incl. voormalig Primato),Hengelo,Overijssel (Twente),ontvanger basisv.,secretariaat@drschaepmanstichting.nl,geverifieerd,,concept-in-gmail,concept klaar,openen + verzenden,,REGIO Twente
Reggesteyn,VO scholengemeenschap,Nijverdal,Overijssel,ontvanger basisv.,administratie.N@reggesteyn.nl,geverifieerd,,concept-in-gmail,concept klaar,openen + verzenden,,REGIO; adres = locatie Nijverdal
Het Stedelijk Lyceum,VO bestuur,Enschede,Overijssel (Twente),ontvanger basisv.,info@hetstedelijk.nl,geverifieerd,,concept-in-gmail,concept klaar,openen + verzenden,,REGIO Twente
Zone.college,VO+MBO (groen) College van Bestuur,Almelo/Twente e.o.,Overijssel/Gelderland,ontvanger basisv.,cvb@zone.college,geverifieerd,,concept-in-gmail,concept klaar,openen + verzenden,,REGIO; CvB
Landstede,VO groep,Zwolle,Overijssel,ontvanger basisv.,info@landstede.nl,geverifieerd,,concept-in-gmail,concept klaar,openen + verzenden,,REGIO
# --- Volgende ronde / vastgelopen adres ---
Auris (cluster 2),SO/VSO,Rotterdam,landelijk,ontvanger basisv.,,te bevestigen,,nog-versturen,,alleen contactformulier gevonden,,
Stichting Orion (SO Amsterdam),SO/VSO,Amsterdam,Noord-Holland,ontvanger basisv.,,te bevestigen,,nog-versturen,,alleen schoollocatie-adressen,,
