locatie,gemeente,provincie,afstand_ca,email,contact_status,datum_verstuurd,status,laatste_actie,volgende_actie,datum_follow_up,notitie
# VluchtelingenWerk Oost-Nederland — locaties binnen ~50km van Enter (7468). Doel: train-de-trainer nieuwe media + curriculum per locatie.
# STATUS: nog-versturen | concept-in-gmail | verstuurd | gereageerd | gesprek-gepland | gewonnen | afgewezen | geen-reactie
# LET OP: e-mailpatroon is NIET uniform: sommige [plaats]@vluchtelingenwerk.nl, AZC's azc[plaats]@..., soms via partnerorganisatie. Per locatie verifieren.
VluchtelingenWerk Hof van Twente,Goor,Overijssel,~15 km,goor@vluchtelingenwerk.nl,geverifieerd,,concept-in-gmail,Gmail-concept aangemaakt,openen + verzenden,,teamleider Pascale Verdonk
AZC Almelo,Almelo,Overijssel,~12 km,azcalmelo@vluchtelingenwerk.nl,geverifieerd,,concept-in-gmail,Gmail-concept aangemaakt,openen + verzenden,,AZC-locatie
VluchtelingenWerk Enschede (Het Tromphuis),Enschede,Overijssel,~30 km,,te bevestigen,,nog-versturen,alleen telefoon publiek,adres via finder/bellen,,M.H. Tromplaan 47
VluchtelingenWerk Hengelo,Hengelo,Overijssel,~25 km,,te bevestigen,,nog-versturen,noodopvang; geen publiek adres,adres via finder,,
VluchtelingenWerk Oldenzaal,Oldenzaal,Overijssel,~35 km,,te bevestigen,,nog-versturen,alleen oekraine-adres gevonden,adres via finder,,
VluchtelingenWerk Deventer,Deventer,Overijssel,~40 km,,te bevestigen,,nog-versturen,alleen telefoon,adres via finder,,Ceintuurbaan 111
VluchtelingenWerk Hardenberg,Hardenberg,Overijssel,~45 km,,te bevestigen,,nog-versturen,,adres via finder,,
VluchtelingenWerk Rijssen (Rozengaarde),Rijssen,Overijssel,~10 km,,te bevestigen,,nog-versturen,,adres via finder,,
Vluchtelingenwerk Nijverdal (via Stichting De Welle),Hellendoorn,Overijssel,~15 km,vluchtelingenwerk@stichtingdewelle.nl,geverifieerd (partner),,nog-versturen,loopt via partnerorganisatie De Welle,evt. apart benaderen,,andere organisatie
# --- Onderstaande locaties aanvullen zodra Kevin de finder-lijst (7468HH, 50km) plakt: naam + plaats per locatie ---
