tier,organisatie,type,plaats_regio,website,contact_email,telefoon,ingang_wie_benaderen,contact_status,notitie
A,Aveleijn,Gehandicaptenzorg (VG),Borne / Twente,aveleijn.nl,info@aveleijn.nl,074-2556600,Innovatie / dagbesteding / communicatie,geverifieerd,REGIO KEVIN; VG-zorg Twente - CONCEPT KLAAR
A,De Twentse Zorgcentra,Gehandicaptenzorg (VG),Enschede / Twente,detwentsezorgcentra.nl,,088-4304444,Innovatie / belevingsgericht werken,te bevestigen,Grootste VG-aanbieder Twente; regio Kevin
A,Cosis,Gehandicaptenzorg (VG + GGZ),Assen / Groningen-Drenthe,cosis.nu,info@cosis.nu,088-8393000,Innovatie / dagbesteding,geverifieerd,REGIO KEVIN (Drenthe); 200+ locaties - CONCEPT KLAAR
A,'s Heeren Loo,Gehandicaptenzorg (VG),landelijk,sheerenloo.nl,innovatie@sheerenloo.nl,,Innovatie (zorgtechnologie),geverifieerd,Innovatie-adres bekend; 125 jaar; zeer groot - CONCEPT KLAAR
A,Philadelphia Zorg,Gehandicaptenzorg (VG),Amersfoort / landelijk,philadelphia.nl,info@philadelphia.nl,033-7602000,Innovatie / belevingsgericht,geverifieerd,~800 locaties - CONCEPT KLAAR
A,Alzheimer Nederland,Dementie / belangenorganisatie,Amersfoort / landelijk,alzheimer-nederland.nl,info@alzheimer-nederland.nl,033-3032502,Voorlichting / innovatie,geverifieerd,Dementie; reminiscentie & voorlichting - CONCEPT KLAAR
A,Vilans,Kennisorganisatie langdurige zorg,Utrecht / landelijk,vilans.nl,info@vilans.nl,,Programma innovatie / zorgtechnologie,geverifieerd,Kennisnetwerk langdurige zorg - CONCEPT KLAAR
A,Movisie,Kennisinstituut sociale vraagstukken,Utrecht / landelijk,movisie.nl,info@movisie.nl,030-7892000,Programma sociaal domein,geverifieerd,Bridge met begrijpelijk-campagne
A,Pharos,Expertisecentrum gezondheidsverschillen,Utrecht / landelijk,pharos.nl,info@pharos.nl,030-2349800,Begrijpelijke zorginformatie,geverifieerd,Bridge; begrijpelijke info in de zorg
A,Dichterbij,Gehandicaptenzorg (VG),Gennep / Zuidoost-NL,dichterbij.nl,,088-7540000,Innovatie / dagbesteding,te bevestigen,Grote VG-aanbieder
A,Frion,Gehandicaptenzorg (VG),Zwolle / Overijssel,frion.nl,,038-4670200,Dagbesteding / belevingsgericht,te bevestigen,REGIO KEVIN (Zwolle); VG Overijssel
A,ROMPA (snoezelen),Zintuiglijke belevingsproducten,UK / NL-partners,rompa.com,,,Sales/partner NL,te bevestigen,Snoezel-/MSE-producten; mogelijke inhoudelijke partner
A,ActiZ,Branchevereniging VVT (ouderenzorg),Utrecht,actiz.nl,,,Programma innovatie,te bevestigen,Koepel ouderenzorg; ingang naar veel instellingen
A,Health Valley,Netwerk zorginnovatie,Nijmegen / Oost-NL,healthvalley.nl,,,Community / matchmaking,te bevestigen,Zorginnovatie-netwerk; 's Heeren Loo is partner
