organisatie,tier,contactpersoon,e-mail,datum_verstuurd,kanaal,status,laatste_actie,volgende_actie,datum_follow_up,notitie
# DOEL: kennismaken / koffie, GEEN opdracht. STATUS: nog-versturen | concept-in-gmail | verstuurd | gereageerd | koffie-gepland | kennis-gemaakt | geen-reactie
Aveleijn,A,,info@aveleijn.nl,2026-08-02,e-mail,kennis-gemaakt,gesprek met Christel (do 13u) - geen inhoudelijke match,NIET MEER BENADEREN,,Mooie organisatie maar geen aansluiting op Kevins werk - afgesloten
Cosis,A,,info@cosis.nu,,e-mail,concept-in-gmail,Gmail-concept (kennismaking),openen + verzenden,,REGIO KEVIN (Drenthe)
's Heeren Loo,A,,innovatie@sheerenloo.nl,,e-mail,concept-in-gmail,Gmail-concept (kennismaking),openen + verzenden,,Innovatie-inbox
Philadelphia Zorg,A,,info@philadelphia.nl,,e-mail,concept-in-gmail,Gmail-concept (kennismaking),openen + verzenden,,Landelijk VG
Alzheimer Nederland,A,,info@alzheimer-nederland.nl,,e-mail,concept-in-gmail,Gmail-concept (kennismaking),openen + verzenden,,Dementie
Vilans,A,,info@vilans.nl,,e-mail,concept-in-gmail,Gmail-concept (kennismaking),openen + verzenden,,Kennisorganisatie
De Twentse Zorgcentra,A,,,,e-mail,nog-versturen,adres te bevestigen,bellen 088-4304444 voor juiste adres,,REGIO KEVIN (Enschede)
Frion,A,,,,e-mail,nog-versturen,adres te bevestigen,via site,,REGIO KEVIN (Zwolle)
Dichterbij,A,,,,e-mail,nog-versturen,adres te bevestigen,via site,,VG Zuidoost-NL
ActiZ,A,,,,linkedin,nog-versturen,adres te bevestigen,via LinkedIn/site,,Koepel ouderenzorg
Health Valley,A,,,,formulier,nog-versturen,adres te bevestigen,via site,,Zorginnovatie-netwerk
ROMPA,A,,,,formulier,nog-versturen,NL-partner zoeken,via rompa.com,,Snoezel-producten
